호선_x,역명,구분,방법1_가중치_물류량,방법2_cluster3_가중치_물류량,방법2_cluster4_가중치_물류량,Unnamed: 0,차량기지,호선_y,전철역코드,수송비용,유휴공간,교통량
5호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,109,창동차량사업소,4,422,0.5078864353312303,0.0285742390492597,0.951468330211507
5호선,동대문역사문화공원,중구,47542.34590942934,402557.711570191,287292.14249927195,148,방화차량사업소,5,2537,0.9096989966555185,,0.951468330211507
2호선,신당,중구,47542.34590942934,402557.711570191,287292.14249927195,15,신정차량사업소,2,206,0.0664451827242524,0.0033418800210711,0.951468330211507
2호선,신당,중구,47542.34590942934,402557.711570191,287292.14249927195,204,신내차량사업소,6,2636,0.6785714285714285,0.0485672757206333,0.951468330211507
6호선,신당,중구,47542.34590942934,402557.711570191,287292.14249927195,15,신정차량사업소,2,206,0.0664451827242524,0.0033418800210711,0.951468330211507
6호선,신당,중구,47542.34590942934,402557.711570191,287292.14249927195,204,신내차량사업소,6,2636,0.6785714285714285,0.0485672757206333,0.951468330211507
3호선,충무로,중구,47542.34590942934,402557.711570191,287292.14249927195,74,지축차량사업소,3,321,0.8192090395480226,,0.951468330211507
3호선,충무로,중구,47542.34590942934,402557.711570191,287292.14249927195,110,창동차량사업소,4,423,0.5488958990536277,0.0355414505726626,0.951468330211507
4호선,충무로,중구,47542.34590942934,402557.711570191,287292.14249927195,74,지축차량사업소,3,321,0.8192090395480226,,0.951468330211507
4호선,충무로,중구,47542.34590942934,402557.711570191,287292.14249927195,110,창동차량사업소,4,423,0.5488958990536277,0.0355414505726626,0.951468330211507
3호선,동대입구,중구,47542.34590942934,402557.711570191,287292.14249927195,75,지축차량사업소,3,322,0.8700564971751412,0.0309350404274293,0.951468330211507
3호선,약수,중구,47542.34590942934,402557.711570191,287292.14249927195,76,지축차량사업소,3,323,0.9096045197740114,0.004386379315031,0.951468330211507
3호선,약수,중구,47542.34590942934,402557.711570191,287292.14249927195,202,신내차량사업소,6,2634,0.6373626373626373,0.0099661023091588,0.951468330211507
6호선,약수,중구,47542.34590942934,402557.711570191,287292.14249927195,76,지축차량사업소,3,323,0.9096045197740114,0.004386379315031,0.951468330211507
6호선,약수,중구,47542.34590942934,402557.711570191,287292.14249927195,202,신내차량사업소,6,2634,0.6373626373626373,0.0099661023091588,0.951468330211507
4호선,명동,중구,47542.34590942934,402557.711570191,287292.14249927195,111,창동차량사업소,4,424,0.5709779179810726,0.0033651774030925,0.951468330211507
4호선,회현,중구,47542.34590942934,402557.711570191,287292.14249927195,112,창동차량사업소,4,425,0.5930599369085173,0.0170847468157008,0.951468330211507
5호선,청구,중구,47542.34590942934,402557.711570191,287292.14249927195,149,방화차량사업소,5,2538,0.939799331103679,0.0184075203949165,0.951468330211507
5호선,청구,중구,47542.34590942934,402557.711570191,287292.14249927195,203,신내차량사업소,6,2635,0.6593406593406593,,0.951468330211507
6호선,청구,중구,47542.34590942934,402557.711570191,287292.14249927195,149,방화차량사업소,5,2538,0.939799331103679,0.0184075203949165,0.951468330211507
6호선,청구,중구,47542.34590942934,402557.711570191,287292.14249927195,203,신내차량사업소,6,2635,0.6593406593406593,,0.951468330211507
