차량기지명,IC명,거리(km)
지축차량사업소,퇴계원IC,21.854074619462537
지축차량사업소,송내IC,21.952116957276644
수서차량사업소,부곡IC,21.99820330020815
수서차량사업소,부곡IC,22.064206280774346
천왕차량사업소,북수원IC,22.166645074894376
천왕차량사업소,북수원IC,22.208511459724374
군자차량사업소,산본IC,22.476532888118296
도봉차량사업소,일산IC,22.506144492594483
신내차량사업소,대왕판교IC,22.523125190695858
군자차량사업소,광명역IC,22.5670127409319
신정차량사업소,부곡IC,22.609527394856563
신정차량사업소,부곡IC,22.63963934116765
수서차량사업소,목감IC,22.69251548457817
지축차량사업소,구리IC,22.79264851022384
수서차량사업소,동군포IC,22.802692537835622
수서차량사업소,동군포IC,22.87005903812251
도봉차량사업소,서하남IC,22.876300871926137
천왕차량사업소,매송IC,22.954998761759754
지축차량사업소,구리IC,22.96054130774971
도봉차량사업소,서하남IC,22.993751134437247
지축차량사업소,시흥IC,23.134286616403752
천왕차량사업소,대왕판교IC,23.151813988067875
신정차량사업소,대왕판교IC,23.19164660899368
지축차량사업소,서인천IC,23.254588785349405
군자차량사업소,자유로IC,23.3857399803248
수서차량사업소,마성IC,23.432108392207898
수서차량사업소,마성IC,23.432641134447127
신내차량사업소,서종IC,23.500826603433662
창동차량사업소,성남IC,23.515841611362763
도봉차량사업소,자유로IC,23.557121694703056
군자차량사업소,목감IC,23.719415988517635
지축차량사업소,장수IC,23.738390085476443
군자차량사업소,일산IC,23.74389918814253
신정차량사업소,송파IC,23.746626751437844
신내차량사업소,판교IC,23.818390007062778
신정차량사업소,송파IC,23.913406251946956
수서차량사업소,군포IC,23.93734990614712
수서차량사업소,군포IC,23.968077512832938
창동차량사업소,일산IC,24.14407935559311
지축차량사업소,남양주IC,24.173550534307942
방화차량사업소,양재IC,24.215335812839697
지축차량사업소,남양주IC,24.245210377109366
신정차량사업소,북수원IC,24.26427263414302
신정차량사업소,북수원IC,24.293238517382953
군자차량사업소,화도IC,24.381850161702197
천왕차량사업소,판교IC,24.44357063677372
수서차량사업소,수원신갈IC,24.48503166503464
도봉차량사업소,화도IC,24.51176760144538
수서차량사업소,화도IC,24.56071684008271
군자차량사업소,부천IC,24.569279495105395
창동차량사업소,자유로IC,24.590075567205513
신정차량사업소,판교IC,24.609822761899142
군자차량사업소,김포IC,24.807601877040057
신정차량사업소,성남IC,24.863161523903777
고덕차량사업소,양평IC,24.914919824578252
천왕차량사업소,송파IC,24.92199664260387
지축차량사업소,토평IC,24.954911146249938
군자차량사업소,시흥IC,25.00031050315393
지축차량사업소,양재IC,25.03642558786454
지축차량사업소,토평IC,25.04631379045876
천왕차량사업소,송파IC,25.081042890359893
신내차량사업소,금천IC,25.275412051304965
천왕차량사업소,성남IC,25.279552054414292
창동차량사업소,대왕판교IC,25.288318642280046
방화차량사업소,산본IC,25.357170157705518
