호선,역명,IC명,거리(km)
5호선,하남시청,선동IC,4.78854773224736
5호선,고덕,서하남IC,4.801364526219036
5호선,하남풍산,덕소삼패IC,4.824858514022246
8호선,암사,서하남IC,4.832265377019454
4호선,노원,별내IC,4.835220857204141
9호선,신논현,양재IC,4.837162841072758
9호선,김포공항,계양IC,4.8413757730970035
5호선,김포공항,계양IC,4.847487720612234
7호선,천왕,시흥IC,4.88098016194522
8호선,잠실,송파IC,4.882011242017143
5호선,하남시청,강일IC,4.911958698661211
2호선,잠실,송파IC,4.920149071738815
3호선,대청,송파IC,4.929739152852129
8호선,몽촌토성,송파IC,4.934143525885694
9호선,언주,양재IC,4.951478062377876
5호선,송정,김포IC,4.952951200330742
6호선,화랑대,퇴계원IC,4.9963891837103205
7호선,중계,별내IC,5.004160169551601
8호선,잠실,송파IC,5.0140692589080995
5호선,송정,부천IC,5.035311982087134
8호선,몽촌토성,송파IC,5.04632055206991
5호선,상일동,남양주IC,5.055061610457104
7호선,보라매,금천IC,5.060012499278192
2호선,잠실,송파IC,5.06047512928472
5호선,천호,상일IC,5.064249504574504
7호선,내방,양재IC,5.066092732087439
5호선,상일동,남양주IC,5.066478783806777
5호선,강동,강일IC,5.0694280832885426
7호선,노원,별내IC,5.083561863259513
7호선,하계,별내IC,5.089555507271552
8호선,복정,서하남IC,5.090245249005126
5호선,하남시청,강일IC,5.090283152963412
6호선,화랑대,구리IC,5.094580154323285
5호선,개화산,자유로IC,5.10207273105404
5호선,상일동,서하남IC,5.104100852848813
8호선,복정,서하남IC,5.111708052898017
8호선,천호,상일IC,5.1118240912564605
2호선,봉천,금천IC,5.114718751343818
5호선,상일동,서하남IC,5.120482310633477
5호선,고덕,남양주IC,5.123630684457559
9호선,사평,양재IC,5.13169955985377
5호선,고덕,남양주IC,5.152795642423405
5호선,천호,상일IC,5.17058930815658
9호선,공항시장,부천IC,5.177149911444462
5호선,강일,남양주IC,5.219663418548641
8호선,천호,상일IC,5.219774468451908
3호선,수서,서하남IC,5.222220041136231
5호선,강일,남양주IC,5.222226098464393
6호선,봉화산,별내IC,5.232578321915228
5호선,강동,강일IC,5.244150106496597
6호선,화랑대,구리IC,5.25829273090471
5호선,길동,토평IC,5.306364445775825
6호선,화랑대,별내IC,5.30872036347275
9호선,선정릉,양재IC,5.311503727679441
5호선,길동,토평IC,5.322509173361284
5호선,천호,강일IC,5.329112072973093
3호선,수서,서하남IC,5.331989973487179
2호선,신도림,금천IC,5.333667859297702
8호선,수진,대왕판교IC,5.335537269090695
6호선,신내,별내IC,5.341251338752781
7호선,마들,별내IC,5.341729247420039
5호선,강일,덕소삼패IC,5.342042601735003
5호선,하남풍산,토평IC,5.3524930655344996
8호선,암사,선동IC,5.382866341531628
7호선,상봉,구리IC,5.395352035838378
7호선,온수,부천IC,5.396581074276123
8호선,천호,강일IC,5.4031450184680345
2호선,삼성,양재IC,5.403979821792439
5호선,하남검단산,미사IC,5.404443767048109
5호선,명일,미사IC,5.404993284024418
5호선,미사,남양주IC,5.405477391130311
7호선,천왕,금천IC,5.41623888447503
5호선,하남풍산,토평IC,5.429813381658143
5호선,미사,남양주IC,5.433609162868307
7호선,신대방삼거리,금천IC,5.4438815795858995
7호선,공릉,별내IC,5.4561077156976685
5호선,강일,서하남IC,5.457861256853526
5호선,강일,서하남IC,5.466912030174768
7호선,상봉,구리IC,5.508638749337833
2호선,잠실나루,송파IC,5.510297596233424
2호선,잠실새내,송파IC,5.518064879364135
4호선,사당,양재IC,5.521594209786747
7호선,고속터미널,양재IC,5.5294287814186625
5호선,길동,선동IC,5.530126623209019
2호선,사당,양재IC,5.530568112612653
5호선,천호,강일IC,5.5332945217052
7호선,광명사거리,시흥IC,5.543220970985498
9호선,마곡나루,김포IC,5.588312487114069
9호선,개화,계양IC,5.590513790402924
8호선,남위례,서하남IC,5.592795458524058
8호선,강동구청,상일IC,5.59728479220285
5호선,명일,남양주IC,5.601073867620607
5호선,광나루,서하남IC,5.605121975992357
8호선,천호,강일IC,5.606423690704766
5호선,올림픽공원,상일IC,5.612289829534085
8호선,남위례,서하남IC,5.61405615153167
8호선,장지,성남IC,5.616167779867909
7호선,면목,구리IC,5.6212201549977285
2호선,강변,서하남IC,5.621909783480525
9호선,삼성중앙,양재IC,5.624083699492859
3호선,학여울,송파IC,5.624123789616456
7호선,논현,양재IC,5.626448447957933
6호선,신내,토평IC,5.631713655012934
8호선,수진,판교IC,5.632993362955296
2호선,잠실나루,송파IC,5.637038159272357
5호선,명일,남양주IC,5.642766734279111
2호선,잠실새내,송파IC,5.644930748275032
7호선,먹골,구리IC,5.6577435569897885
