차량기지,구분,호선,전철역코드,역명,수송비용,유휴공간,교통량
고덕차량사업소,광진구,5,2545,군자,0.8482758621,0.02372061779,0.6518132049
도봉차량사업소,광진구,7,2727,군자,0.7402597403,0.06239944915,0.6518132049
고덕차량사업소,광진구,5,2545,군자,0.8482758621,0.02372061779,0.6518132049
도봉차량사업소,광진구,7,2727,군자,0.7402597403,0.06239944915,0.6518132049
고덕차량사업소,광진구,5,2546,아차산,0.8137931034,0.02481430045,0.6518132049
고덕차량사업소,광진구,5,2547,광나루,0.7620689655,0.02307993979,0.6518132049
도봉차량사업소,광진구,7,2726,중곡,0.6926406926,0.0183984603,0.6518132049
도봉차량사업소,광진구,7,2728,어린이대공원,0.7878787879,0.05781504208,0.6518132049
도봉차량사업소,광진구,7,2730,뚝섬유원지,0.8658008658,0.003868659715,0.6518132049
신정차량사업소,송파구,2,215,잠실나루,0.2342192691,0.0509254885,0.6796041578
신정차량사업소,송파구,2,216,잠실,0.2508305648,0.07368185354,0.6796041578
모란차량사업소,송파구,8,2815,잠실,0.2598870056,0.269174069,0.6796041578
신정차량사업소,송파구,2,216,잠실,0.2508305648,0.07368185354,0.6796041578
모란차량사업소,송파구,8,2815,잠실,0.2598870056,0.269174069,0.6796041578
신정차량사업소,송파구,2,217,잠실새내,0.2707641196,0.008222681555,0.6796041578
신정차량사업소,송파구,2,218,종합운동장,0.2906976744,0.03513633499,0.6796041578
김포차량사업소,송파구,9,4130,종합운동장,0.7807881773,,0.6796041578
신정차량사업소,송파구,2,218,종합운동장,0.2906976744,0.03513633499,0.6796041578
김포차량사업소,송파구,9,4130,종합운동장,0.7807881773,,0.6796041578
수서차량사업소,송파구,3,340,가락시장,0.08695652174,0.002718027902,0.6796041578
모란차량사업소,송파구,8,2818,가락시장,0.4237288136,0.02071525551,0.6796041578
수서차량사업소,송파구,3,340,가락시장,0.08695652174,0.002718027902,0.6796041578
