,차량기지,호선,역명,전철역코드,수송비용,유휴공간,교통량
63,지축차량사업소,3,구파발,0310,0.0847457627118644,,0.8373622309937054
64,지축차량사업소,3,연신내,0311,0.1977401129943503,0.016841418603477265,0.8373622309937054
65,지축차량사업소,3,불광,0312,0.2711864406779661,0.02768893853244614,0.8373622309937054
66,지축차량사업소,3,녹번,0313,0.33333333333333337,0.023112297264240203,0.8373622309937054
67,지축차량사업소,3,홍제,0314,0.423728813559322,0.18650330887539657,0.7768523952312429
68,지축차량사업소,3,무악재,0315,0.4745762711864407,,0.7768523952312429
69,지축차량사업소,3,독립문,0316,0.536723163841808,,0.7768523952312429
70,지축차량사업소,3,경복궁,0317,0.6271186440677966,0.0033004624530331254,0.9043274139220052
71,지축차량사업소,3,안국,0318,0.6892655367231638,0.027045671928854976,0.9043274139220052
72,지축차량사업소,3,종로3가,0319,0.7457627118644068,0.05731155977266933,0.9043274139220052
73,지축차량사업소,3,을지로3가,0320,0.7796610169491526,0.007325732346732348,0.951468330211507
74,지축차량사업소,3,충무로,0321,0.8192090395480226,,0.951468330211507
75,지축차량사업소,3,동대입구,0322,0.8700564971751412,0.030935040427429304,0.951468330211507
76,지축차량사업소,3,약수,0323,0.9096045197740114,0.004386379315031083,0.951468330211507
77,지축차량사업소,3,금호,0324,0.9548022598870055,0.01853565599603427,0.6102433416671356
78,지축차량사업소,3,옥수,0325,1.0,0.08117066756059585,0.6102433416671356
79,수서차량사업소,3,압구정,0326,1.0,0.015231310645997576,0.536091259154454
80,수서차량사업소,3,신사,0327,0.9184782608695652,0.04464813834503164,0.536091259154454
81,수서차량사업소,3,잠원,0328,0.8695652173913044,,0.49324318892542185
82,수서차량사업소,3,고속터미널,0329,0.8043478260869567,1.0,0.49324318892542185
83,수서차량사업소,3,교대,0330,0.7173913043478262,0.10368241008828415,0.49324318892542185
84,수서차량사업소,3,남부터미널,0331,0.6684782608695653,,0.49324318892542185
85,수서차량사업소,3,양재,0332,0.5706521739130436,0.03468462463387518,0.49324318892542185
86,수서차량사업소,3,매봉,0333,0.5054347826086958,0.0086951006899908,0.536091259154454
87,수서차량사업소,3,도곡,0334,0.46195652173913054,0.01272554777969478,0.536091259154454
88,수서차량사업소,3,대치,0335,0.4184782608695653,,0.536091259154454
89,수서차량사업소,3,학여울,0336,0.37500000000000006,,0.536091259154454
90,수서차량사업소,3,대청,0337,0.3260869565217391,0.006421017344900915,0.536091259154454
91,수서차량사업소,3,일원,0338,0.2608695652173915,0.13178293570310853,0.536091259154454
92,수서차량사업소,3,수서,0339,0.16304347826086954,0.029111373134753357,0.536091259154454
93,수서차량사업소,3,가락시장,0340,0.0869565217391305,0.0027180279024978677,0.6796041577902294
94,수서차량사업소,3,경찰병원,0341,0.043478260869565445,0.012218182571228512,0.6796041577902294
95,수서차량사업소,3,오금,0342,0.0,,0.6796041577902294
96,창동차량사업소,4,당고개,0409,0.0,0.06068062007276549,0.6811878481908147
97,창동차량사업소,4,상계,0410,0.037854889589905356,0.050103608635045226,0.6811878481908147
98,창동차량사업소,4,노원,0411,0.0694006309148265,0.0057997538243299744,0.6811878481908147
99,창동차량사업소,4,창동,0412,0.11356466876971609,0.011972265761002514,0.893402361869237
100,창동차량사업소,4,쌍문,0413,0.15457413249211358,0.0026144839824027107,0.893402361869237
101,창동차량사업소,4,수유,0414,0.20189274447949526,0.0153141457820737,
102,창동차량사업소,4,미아,0415,0.24605678233438483,0.017095101207710402,
103,창동차량사업소,4,미아사거리 ,0416,0.29337539432176657,,
104,창동차량사업소,4,길음,0417,0.334384858044164,0.015536765210278287,0.6474721246372384
105,창동차량사업소,4,성신여대입구,0418,0.3785488958990536,0.017674947160243277,0.6474721246372384
106,창동차량사업소,4,한성대입구,0419,0.41009463722397477,,0.6474721246372384
107,창동차량사업소,4,혜화,0420,0.4384858044164038,0.004848444058455721,0.9043274139220052
108,창동차량사업소,4,동대문,0421,0.48580441640378547,0.036795626304815185,0.9043274139220052
109,창동차량사업소,4,동대문역사문화공원,0422,0.5078864353312303,0.028574239049259726,0.951468330211507
110,창동차량사업소,4,충무로,0423,0.5488958990536277,0.0355414505726626,0.951468330211507
111,창동차량사업소,4,명동,0424,0.5709779179810726,0.0033651774030925984,0.951468330211507
112,창동차량사업소,4,회현,0425,0.5930599369085173,0.017084746815700883,0.951468330211507
113,창동차량사업소,4,서울,0426,0.6214511041009463,,0.5956364104089458
114,창동차량사업소,4,숙대입구,0427,0.6529968454258674,0.00446533155410364,0.5956364104089458
115,창동차량사업소,4,삼각지,0428,0.6908517350157728,,0.5956364104089458
116,창동차량사업소,4,신용산,0429,0.7129337539432177,0.025304839772255148,0.5956364104089458
117,창동차량사업소,4,이촌,0430,0.753943217665615,0.0053454548749124736,0.5956364104089458
118,창동차량사업소,4,동작,0431,0.8391167192429022,0.006050847830560729,0.0
119,창동차량사업소,4,총신대입구,0432,0.8958990536277601,0.04607057294733886,0.0
120,창동차량사업소,4,사당,0433,0.9305993690851735,0.29425240642541795,0.0
121,창동차량사업소,4,남태령,0434,0.9999999999999999,,0.49324318892542185
122,방화차량사업소,5,방화,2511,0.0,0.011671988392726559,0.6317879623451481
123,방화차량사업소,5,개화산,2512,0.030100334448160536,0.0038828970035683827,0.6317879623451481
124,방화차량사업소,5,김포공항,2513,0.07023411371237458,0.07398471950599196,0.6317879623451481
125,방화차량사업소,5,송정,2514,0.11036789297658862,0.02708708949689304,0.6317879623451481
126,방화차량사업소,5,마곡,2515,0.14715719063545152,,0.6317879623451481
127,방화차량사업소,5,발산,2516,0.18729096989966554,0.02230853758450155,0.6317879623451481
128,방화차량사업소,5,우장산,2517,0.22408026755852842,0.020201418810565103,0.6317879623451481
129,방화차량사업소,5,화곡,2518,0.25752508361204013,0.03858823042146259,0.6317879623451481
130,방화차량사업소,5,까치산,2519,0.2976588628762542,0.0316973825391299,0.6317879623451481
131,방화차량사업소,5,신정,2520,0.34113712374581934,0.008634268636934894,0.5489778363734295
132,방화차량사업소,5,목동,2521,0.36789297658862874,0.020306257029661455,0.5489778363734295
133,방화차량사업소,5,오목교,2522,0.3979933110367893,0.2755018967951863,0.5489778363734295
134,방화차량사업소,5,양평,2523,0.431438127090301,,0.6840979797898596
135,방화차량사업소,5,영등포구청,2524,0.45819397993311034,0.048216520691310986,0.6840979797898596
136,방화차량사업소,5,영등포시장,2525,0.48829431438127086,0.004827735274436689,0.6840979797898596
137,방화차량사업소,5,신길,2526,0.5250836120401338,0.009060093008326227,0.6840979797898596
138,방화차량사업소,5,여의도,2527,0.5585284280936454,0.019618984260029847,0.6840979797898596
139,방화차량사업소,5,여의나루,2528,0.5919732441471571,0.008833590683118071,0.6840979797898596
140,방화차량사업소,5,마포,2529,0.6521739130434783,0.021622559113871134,0.14617382007026114
141,방화차량사업소,5,공덕,2530,0.6789297658862876,0.14081843703041216,0.14617382007026114
142,방화차량사업소,5,애오개,2531,0.7157190635451505,0.004167642783830064,0.14617382007026114
143,방화차량사업소,5,충정로,2532,0.745819397993311,0.026128013937011647,0.7768523952312429
144,방화차량사업소,5,서대문,2533,0.7692307692307692,0.022396549916582433,0.9043274139220052
145,방화차량사업소,5,광화문,2534,0.8060200668896321,0.1268853082826076,0.9043274139220052
146,방화차량사업소,5,종로3가,2535,0.8461538461538461,0.015293436998054669,0.9043274139220052
147,방화차량사업소,5,을지로4가,2536,0.8795986622073578,0.02382804461189798,0.951468330211507
148,방화차량사업소,5,동대문역사문화공원,2537,0.9096989966555183,,0.951468330211507
149,방화차량사업소,5,청구,2538,0.939799331103679,0.018407520394916513,0.951468330211507
150,방화차량사업소,5,신금호,2539,0.9698996655518394,0.008107488943450784,0.6102433416671356
151,방화차량사업소,5,행당,2540,0.9999999999999999,0.020460278610802997,0.6102433416671356
152,고덕차량사업소,5,왕십리,2541,1.0,0.10408364277865287,0.6102433416671356
153,고덕차량사업소,5,마장,2542,0.9758620689655173,0.0038828970035683827,0.6102433416671356
154,고덕차량사업소,5,답십리,2543,0.9413793103448277,0.0388315586336862,0.6102433416671356
155,고덕차량사업소,5,장한평,2544,0.9,0.023569184811660083,0.16943879478748802
156,고덕차량사업소,5,군자,2545,0.8482758620689654,0.023720617794799247,0.6518132049231067
157,고덕차량사업소,5,아차산,2546,0.8137931034482758,0.024814300450804346,0.6518132049231067
158,고덕차량사업소,5,광나루,2547,0.7620689655172413,0.023079939789210465,0.6518132049231067
159,고덕차량사업소,5,천호,2548,0.693103448275862,0.24406207975729308,0.4074586190541267
160,고덕차량사업소,5,강동,2549,0.6655172413793103,0.0658254586024936,0.4074586190541267
161,고덕차량사업소,5,길동,2550,0.6344827586206897,0.0041184594217848645,0.4074586190541267
162,고덕차량사업소,5,굽은다리,2551,0.6068965517241378,0.01764906118021949,0.4074586190541267
163,고덕차량사업소,5,명일,2552,0.5793103448275863,0.01670810580635475,0.4074586190541267
164,고덕차량사업소,5,고덕,2553,0.5379310344827585,0.013489184190396561,0.4074586190541267
165,고덕차량사업소,5,상일동,2554,0.5000000000000001,0.008701572184996747,0.4074586190541267
166,고덕차량사업소,5,강일,2562,0.4724137931034482,,0.4074586190541267
167,고덕차량사업소,5,미사,2563,0.4137931034482759,,
168,고덕차량사업소,5,하남풍산,2564,0.3413793103448276,,
169,고덕차량사업소,5,하남시청,2565,0.2965517241379309,,
170,고덕차량사업소,5,하남검단산,2566,0.24137931034482762,,
171,고덕차량사업소,5,둔촌동,2555,0.19999999999999993,0.0196616961270691,0.4074586190541267
