Unnamed: 0,차량기지,호선_x,역명,전철역코드,수송비용,유휴공간,교통량,호선_y,역주소
148,방화차량사업소,5,동대문역사문화공원,2537,0.9096989966555185,,0.951468330211507,5호선,중구
148,방화차량사업소,5,동대문역사문화공원,2537,0.9096989966555185,,0.951468330211507,4호선,중구
148,방화차량사업소,5,동대문역사문화공원,2537,0.9096989966555185,,0.951468330211507,2호선,중구
130,방화차량사업소,5,까치산,2519,0.2976588628762542,0.0316973825391299,0.6317879623451481,5호선,강서구
147,방화차량사업소,5,을지로4가,2536,0.8795986622073578,0.0238280446118979,0.951468330211507,5호선,중구
147,방화차량사업소,5,을지로4가,2536,0.8795986622073578,0.0238280446118979,0.951468330211507,2호선,중구
146,방화차량사업소,5,종로3가,2535,0.8461538461538461,0.0152934369980546,0.9043274139220052,3호선,종로구
146,방화차량사업소,5,종로3가,2535,0.8461538461538461,0.0152934369980546,0.9043274139220052,5호선,종로구
146,방화차량사업소,5,종로3가,2535,0.8461538461538461,0.0152934369980546,0.9043274139220052,1호선,종로구
123,방화차량사업소,5,개화산,2512,0.0301003344481605,0.0038828970035683,0.6317879623451481,5호선,강서구
186,신내차량사업소,6,증산,2618,0.2307692307692307,0.0223913727205776,0.8373622309937054,6호선,은평구
185,신내차량사업소,6,새절,2617,0.206043956043956,0.0161450857408373,0.8373622309937054,6호선,은평구
183,신내차량사업소,6,구산,2616,0.14010989010989,0.0124511563914426,0.8373622309937054,6호선,은평구
181,신내차량사업소,6,독바위,2614,0.0769230769230769,0.0150526973838334,0.8373622309937054,6호선,은평구
179,신내차량사업소,6,역촌,2612,0.0302197802197802,0.0229738072711129,0.8373622309937054,6호선,은평구
216,신내차량사업소,6,봉화산,2648,0.9642857142857144,0.0138489993127272,0.585651925751449,6호선,중랑구
184,신내차량사업소,6,응암,2611,0.1813186813186813,0.0258134992797226,0.8373622309937054,6호선,은평구
178,신내차량사업소,6,응암,2611,0.0,0.0258134992797226,0.8373622309937054,6호선,은평구
202,신내차량사업소,6,약수,2634,0.6373626373626373,0.0099661023091588,0.951468330211507,3호선,중구
202,신내차량사업소,6,약수,2634,0.6373626373626373,0.0099661023091588,0.951468330211507,6호선,중구
180,신내차량사업소,6,불광,2613,0.0521978021978021,0.009448382708683,0.8373622309937054,6호선,은평구
180,신내차량사업소,6,불광,2613,0.0521978021978021,0.009448382708683,0.8373622309937054,3호선,은평구
182,신내차량사업소,6,연신내,2615,0.1153846153846153,0.0106909097498249,0.8373622309937054,6호선,은평구
217,신내차량사업소,6,신내,2649,1.0,,0.585651925751449,6호선,중랑구
187,신내차량사업소,6,디지털미디어시티,2619,0.260989010989011,0.0901984030938923,0.8373622309937054,6호선,은평구
188,신내차량사업소,6,월드컵경기장,2620,0.2829670329670329,0.0055654857051146,0.1461738200702611,6호선,마포구
192,신내차량사업소,6,상수,2624,0.3763736263736263,0.0270508491248597,0.1461738200702611,6호선,마포구
190,신내차량사업소,6,망원,2622,0.3324175824175824,0.0247431140057389,0.1461738200702611,6호선,마포구
211,신내차량사업소,6,상월곡,2643,0.8489010989010989,0.0172659486758674,0.6474721246372384,6호선,성북구
213,신내차량사업소,6,석계,2645,0.8983516483516484,0.0513448413771859,0.6811878481908147,6호선,노원구
210,신내차량사업소,6,월곡,2642,0.826923076923077,0.0256051171405311,0.6474721246372384,6호선,성북구
209,신내차량사업소,6,고려대,2641,0.7884615384615384,0.0256788921835989,0.6474721246372384,6호선,성북구
208,신내차량사업소,6,안암,2640,0.7664835164835164,0.0244868428035034,0.6474721246372384,6호선,성북구
207,신내차량사업소,6,보문,2639,0.7417582417582418,0.014120802102977,0.6474721246372384,6호선,성북구
206,신내차량사업소,6,창신,2638,0.7197802197802198,0.0036240372033304,0.9043274139220052,6호선,종로구
