차량기지명,IC명,거리(km)
지축차량사업소,장수IC,23.738390085476443
군자차량사업소,일산IC,23.74389918814253
신내차량사업소,판교IC,23.818390007062778
신정차량사업소,송파IC,23.8300165016924
수서차량사업소,군포IC,23.952713709490027
창동차량사업소,일산IC,24.14407935559311
지축차량사업소,남양주IC,24.209380455708654
방화차량사업소,양재IC,24.215335812839697
신정차량사업소,북수원IC,24.278755575762986
군자차량사업소,화도IC,24.381850161702197
천왕차량사업소,판교IC,24.44357063677372
수서차량사업소,수원신갈IC,24.48503166503464
도봉차량사업소,화도IC,24.51176760144538
수서차량사업소,화도IC,24.56071684008271
군자차량사업소,부천IC,24.569279495105395
창동차량사업소,자유로IC,24.590075567205513
신정차량사업소,판교IC,24.609822761899142
군자차량사업소,김포IC,24.807601877040057
신정차량사업소,성남IC,24.863161523903777
고덕차량사업소,양평IC,24.914919824578252
군자차량사업소,시흥IC,25.00031050315393
지축차량사업소,토평IC,25.000612468354348
천왕차량사업소,송파IC,25.00151976648188
지축차량사업소,양재IC,25.03642558786454
신내차량사업소,금천IC,25.275412051304965
천왕차량사업소,성남IC,25.279552054414292
창동차량사업소,대왕판교IC,25.288318642280046
방화차량사업소,산본IC,25.357170157705518
신정차량사업소,서하남IC,25.5402715406928
창동차량사업소,서종IC,25.55261008444078
창동차량사업소,금천IC,25.711707610402136
신정차량사업소,매송IC,26.0458049607418
방화차량사업소,서안산IC,26.053425039895238
지축차량사업소,강일IC,26.13656616369176
도봉차량사업소,송파IC,26.156835858000107
방화차량사업소,평촌IC,26.221486372563053
지축차량사업소,가좌IC,26.31219864469645
도봉차량사업소,김포IC,26.41559079870663
도봉차량사업소,양재IC,26.450034379501464
신내차량사업소,일산IC,26.488224451301512
방화차량사업소,안산IC,26.563449692397022
창동차량사업소,판교IC,26.658759610370396
신내차량사업소,자유로IC,26.717627534008493
군자차량사업소,북수원IC,26.72899834439609
천왕차량사업소,비봉IC,26.761807536041335
군자차량사업소,계양IC,26.818044899686807
군자차량사업소,부곡IC,26.864314084654968
지축차량사업소,선동IC,26.879132289019946
창동차량사업소,김포IC,26.938767352866957
군자차량사업소,동군포IC,27.024572687678752
천왕차량사업소,동수원IC,27.06355722377662
수서차량사업소,시흥IC,27.069602247862317
신정차량사업소,토평IC,27.177842217790303
수서차량사업소,용인IC,27.184601859190074
고덕차량사업소,평촌IC,27.193836162963333
신정차량사업소,구리IC,27.19566311061657
천왕차량사업소,서하남IC,27.27548714312557
고덕차량사업소,금천IC,27.32745162748762
군자차량사업소,중동IC,27.432191110264768
지축차량사업소,광명역IC,27.538494834955774
신정차량사업소,남양주IC,27.548049305363286
고덕차량사업소,남양평IC,27.593826154406525
신정차량사업소,강일IC,27.647023180150867
신정차량사업소,별내IC,27.835008309697603
군자차량사업소,군포IC,27.840803773151826
신정차량사업소,퇴계원IC,27.89040010309093
방화차량사업소,별내IC,27.9061312218156
수서차량사업소,안산IC,27.977502918667646
지축차량사업소,미사IC,27.98964360000626
군자차량사업소,송내IC,28.026429039916597
지축차량사업소,서하남IC,28.09081723380187
군자차량사업소,장수IC,28.131115144253112
지축차량사업소,상일IC,28.202310820753247
군자차량사업소,동수원IC,28.206132255220233
신정차량사업소,상일IC,28.266124742314332
지축차량사업소,도화IC,28.32845655724274
신내차량사업소,평촌IC,28.338423635557117
지축차량사업소,목감IC,28.435892976408077
신정차량사업소,선동IC,28.696578878330158
수서차량사업소,서종IC,28.726551296158647
신정차량사업소,동수원IC,28.769796514648917
방화차량사업소,퇴계원IC,28.80179134959733
신내차량사업소,김포IC,28.827356084170514
수서차량사업소,부천IC,29.030175235239998
방화차량사업소,구리IC,29.03658327565094
지축차량사업소,송파IC,29.037265166882165
